,Q5017_27-32nt,Q5019_27-32nt,Q5020_27-32nt,Q5033_27-32nt,Q5034_27-32nt,Q5035_27-32nt,Q5041_27-32nt,Q5042_27-32nt,Q5043_27-32nt,Q5334_27-32nt,Q5337_27-32nt,Q5338_27-32nt,R4816_27-32nt,R4816_37-43nt,R4816minus_20-23nt,R4816minus_20-32nt,R4816minus_27-32nt,R4819_27-32nt,R4819_37-43nt,R4819minus_20-23nt,R4819minus_20-32nt,R4819minus_27-32nt,R4869_27-32nt,R4869minus_20-23nt,R4869minus_20-32nt,R4869minus_27-32nt,R4870_27-32nt,R4870minus_20-23nt,R4870minus_20-32nt,R4870minus_27-32nt,R4902_27-32nt,R4902_37-43nt,R4903_27-32nt,R4903_37-43nt
YNL008C_mRNA,24.11,36.33,28.97,29.66,34.38,35.8,15.9,27.19,31.66,39.73,34.57,36.52,10.47,0,6.51,9.59,25.71,24.47,0,0,10.19,64.01,0,0,0,0,17.33,11.86,18.47,31.53,25.94,0,0,0
YKL052C_mRNA,27.12,28.21,27.44,43.14,26.95,17.64,26.71,32.8,21.91,17.05,36.24,25.45,73.9,0,26.68,28.87,40.31,94.2,0,66.13,71.59,100.38,96.22,0,0,0,44.64,18.52,15.44,9.27,38.13,0,34.79,0
YGR097W_mRNA,22.21,22.1,25.07,32.99,21.8,25.87,12.61,14.2,8.04,25.35,25.39,28.37,23.69,0,21.11,23.67,37.01,16.47,66.8,7.47,8.4,13.17,9.01,64.39,39.5,0,23.42,24.61,21.44,14.59,14.01,151.79,27.38,0
YDL088C_mRNA,17.81,17.72,15.75,19.89,15.83,17.37,14.11,18.2,4.63,14.35,16.35,17.09,0,0,28.3,25.52,10.65,58.07,0,10.02,59.06,318.23,7.26,83.75,51.38,0,25.64,24.58,31.26,44.09,64.48,0,0,41.12
YPR145W_mRNA,699.72,816.67,712.92,623.58,849.84,811.42,823.08,851.32,929.61,943.42,1025.87,1033.41,838.88,639.69,626,665.88,867.56,790.15,304.31,1083.68,1055.37,897.24,782.92,1241.55,1023.71,673.81,898.41,982.2,973.4,950.04,971.64,207.44,769.38,79.49
YGR124W_mRNA,438.71,516.05,475.59,439.73,507.61,473.22,546.97,523.68,665.51,480.03,511.47,578.72,600.15,0,722.16,710.33,644.34,422.27,231.12,726.2,690.1,495.67,695.76,1198.04,983.7,640.17,554.79,567.46,589.29,628.94,540.83,0,664.84,0
YDR321W_mRNA,178.35,174.6,172.62,162.97,151.36,160.89,133.97,127.12,106.55,151.13,165.92,194.63,361.97,293.62,214.76,214.94,214.46,210.79,129.7,208.63,236.21,381.42,480.57,316.98,274.92,207.42,290.6,204.45,204.61,204.33,336.2,0,220.32,59.29
YLR155C_mRNA,8.13,2.97,4.12,9.5,6.8,7.13,3.88,2.68,3.98,5.39,8.83,10.11,0,0,5.55,4.67,0,0,0,0,0,0,0,0,0,0,4.58,4.21,2.81,0,12.46,0,0,0
YLR157C_mRNA,8.13,2.97,4.12,9.5,6.8,7.13,3.88,2.68,3.98,5.39,8.83,10.11,0,0,5.55,4.67,0,0,0,0,0,0,0,0,0,0,4.58,4.21,2.81,0,12.46,0,0,0
YLR158C_mRNA,8.13,2.97,4.12,9.5,6.8,7.13,3.88,2.68,3.98,5.39,8.83,10.11,0,0,5.55,4.67,0,0,0,0,0,0,0,0,0,0,4.58,4.21,2.81,0,12.46,0,0,0
YLR160C_mRNA,8.13,2.97,4.12,9.5,6.8,7.13,3.88,2.68,3.98,5.39,8.83,10.11,0,0,5.55,4.67,0,0,0,0,0,0,0,0,0,0,4.58,4.21,2.81,0,12.46,0,0,0
YPR093C_mRNA,13.97,10.34,9.9,17.61,17.62,12.58,9.31,4.29,3.82,12.11,8.86,8.32,28.64,0,13.3,11.2,0,9.12,0,0,0,0,0,0,0,0,11.85,16.16,10.78,0,0,0,90.99,0
YBL069W_mRNA,66.32,58.86,48.59,52.7,57.66,62.51,44.05,48.12,42.18,64.85,47.41,62.72,46.63,0,36.18,40.59,63.58,52.83,80.65,0,0,0,86.73,18.17,11.14,0,50.21,81.28,62.66,25.5,57.74,0,117.06,49.15
YER101C_mRNA,8.54,9.53,5.66,18.5,13.67,16.16,3.36,5.16,11.04,8.35,6.12,8.68,15.51,0,2.41,2.03,0,9.89,0,0,0,0,56.26,184.35,114.3,0,12.22,23.39,15.6,0,0,0,102.22,0
YDR184C_mRNA,27.5,30.17,29.63,41.74,20.55,20.64,16.45,26.73,39.46,21.67,30.33,29.11,0,0,41.58,49.13,86.46,35.92,0,0,20.49,129.17,5.9,0,0,0,28.31,31.81,31.83,31.81,6.54,0,119.37,0
YGL017W_mRNA,13.94,13.39,13.28,8.59,10.07,21.1,15.62,9.59,12.81,14.03,10.59,14.88,14.4,140.92,18.09,23.18,47.14,15.3,0,16.63,14,0,8.04,0,0,0,23.83,5.43,12.68,27.1,40.14,0,54.24,0
YOR377W_mRNA,17.9,11.29,11.31,6.34,15.51,14.9,5.67,13.93,19.78,16.77,18.07,13.23,34.88,0,10.16,8.55,0,11.12,0,0,0,0,0,0,0,0,3.09,14.8,13.17,9.85,24.3,0,0,0
YGR177C_mRNA,64.84,87.79,86.52,54.67,62.19,69.54,44.65,57.4,60.65,71.26,72.49,65.64,68.64,0,29.98,35.32,63.18,46.47,0,14.86,45.88,209.74,3.59,0,78.5,201.98,67.93,46.12,35.63,14.53,0,0,48.46,0
YGL180W_mRNA,5.14,5.25,5.29,4.53,6.16,6.86,1.76,9.17,10.09,4.78,6.4,6.98,24.32,0,8.83,7.43,0,5.17,0,6.25,5.26,0,9.05,33.25,20.39,0,7.03,3.06,3.07,3.05,0,0,0,0
YLL042C_mRNA,5.86,2.12,5.52,1.19,2.91,5.2,0,6.38,2.84,5.73,5.16,6.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.52,0,0,0,0,0,135.33,0
YPR049C_mRNA,5.94,6.13,4.36,6.28,6.89,6.12,0,5.61,2.88,6.14,6.39,9.34,17.27,50.53,10.08,8.48,0,1.38,0,10,8.42,0,18.07,0,0,0,8.17,12.25,8.99,2.44,0,0,3.05,0
YBR217W_mRNA,4.01,1.33,7.69,7.95,8.11,7.82,0,5.33,4.74,4.1,4.79,6.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YPR185W_mRNA,4.84,8.19,5.95,8.3,7.65,7.25,6.3,5.16,3.44,7.69,6.43,7.08,0,0,4.52,3.8,0,6.17,50.1,3.73,3.14,0,5.4,0,0,0,19.83,7.31,6.1,3.64,0,113.85,0,30.54
YBR128C_mRNA,4.04,1.24,0.72,0,0,1.82,0,0,1.66,0.96,3.01,2.41,0,0,0,0,0,27.73,0,0,0,0,0,0,0,0,4.41,0,0,0,0,0,0,0
YCR068W_mRNA,19.36,13.57,11.65,32.93,22.85,18.46,5.72,4.39,10.56,19.95,22.01,24.7,0,25.8,43.01,39.65,21.58,8.41,0,35.54,29.92,0,62.56,0,23.66,60.89,17.67,22.39,18.26,9.93,28.59,93.21,0,0
YMR159C_mRNA,12.59,6.83,5.27,21.72,32.31,41.3,0,4.57,0,18.46,23.38,22.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.32,0,0,0
YLR423C_mRNA,4.78,3.43,3.97,6.52,3.87,2.07,3.45,4.24,4.25,4.08,5.14,3.77,0,218.16,0,0,0,10.14,0,0,0,0,84.38,18.6,11.41,0,5.02,0,2.04,5.99,0,0,0,0
YFR021W_mRNA,49.3,36.08,42.29,53.46,31.52,41.16,18.48,30.26,50.53,45.89,32.62,38.83,9.47,0,19.85,16.7,0,18.11,0,10.93,9.2,0,27.74,0,0,0,27.98,26.79,28.51,32.08,21.99,0,80.24,0
YOL082W_mRNA,14.63,9.99,9.91,16.02,11.5,11.19,0,3.43,4.59,9.7,10.49,16.65,34.39,0,8,6.73,0,21.91,59.52,0,0,0,9.59,10.04,6.16,0,23.03,6.48,15.13,32.35,0,243.42,0,380.87
YNL242W_mRNA,9.07,7.63,7.1,7.59,7.06,7.56,2.06,5.68,6.74,7.41,6.12,7.34,28.44,0,14.79,16.21,23.27,10.07,24.48,2.44,2.3,0,2.64,0,0,0,11.95,9.85,6.56,0,16.14,0,0,0
YDL113C_mRNA,17.21,20.97,20.93,19.87,21.84,21.88,15.08,10.8,11.34,13.96,15.8,16.71,7.73,0,0,0,0,9.85,0,0,0,0,12.93,0,0,0,1.83,15.31,10.22,0,25.12,0,0,0
YPL100W_mRNA,12.38,14.59,11.08,12.8,17.96,12.07,8.94,10.97,11,9.16,13.31,13.01,0,0,21.78,19.85,11.24,11.67,0,0,0,0,38.33,0,0,0,42.22,23.32,17.29,5.17,0,0,0,0
YCL038C_mRNA,9.46,13.32,11.43,19.07,19.76,20.72,0,16.58,12.3,18.8,21.84,20.55,0,0,6.14,5.97,11.32,0,0,5.27,4.33,0,0,0,0,0,13.08,28.7,19.15,0,64.25,0,6.51,0
YLR431C_mRNA,3.71,4.93,3.14,4.43,6.32,5.8,9.66,1.98,1.32,4.95,3.2,3.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.68,5.6,3.73,0,0,0,0,0
YLR189C_mRNA,8.89,9.26,7.38,8.55,9.61,9.48,9.41,8.25,4.41,7.95,9.56,12.68,43.4,0,5.78,4.87,0,3.95,0,11.96,10.07,0,10.38,0,0,0,9.28,2.35,3.14,4.67,1.92,0,26.26,0
YJL178C_mRNA,120.44,104.42,116.38,130.66,103.44,114.14,117.41,99.55,105.46,120.95,100.37,103.77,171.89,0,79.75,70.47,21.1,191.7,0,88.96,108.18,210.1,107.9,0,147.41,380.85,103.6,58.12,64.63,77.62,143.68,0,230.59,0
YPL166W_mRNA,9.89,3.13,7.77,4.02,11.47,9.65,0,1.79,2.4,8.29,6.77,8.12,0,0,4.17,3.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.38,0,0,0
YNR007C_mRNA,12.85,8.75,14.41,5.29,15.4,5.28,0,5.4,7.21,15.59,8.36,11.78,33.78,119.28,18.84,15.86,0,30.14,35.13,38.92,32.77,0,0,0,50.79,130.99,6.39,7.63,5.09,0,0,0,0,0
YDR022C_mRNA,9.05,6.75,5.86,17.69,10.3,3.31,0,4.51,0,8.69,12.77,8.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.7,38.11,25.43,0,10.5,0,0,0
YIL146C_mRNA,3.47,1.29,1.75,1.94,2.37,1.69,2.82,3.46,0,2,1.63,2.52,0,0,0,0,0,16.56,0,0,0,0,0,0,0,0,6.14,0,0,0,0,0,0,0
YLR356W_mRNA,24.81,18.85,20.78,24.18,18.9,21.13,23.46,27,19.24,17.33,17.95,26.19,81.13,0,96.15,80.92,0,22.98,0,0,0,0,0,0,0,0,38.35,66.01,60.98,50.89,66.98,0,216.4,0
YOL083W_mRNA,2.85,2.27,1.97,7.01,2.6,1.11,3.71,0,0,3.95,2.15,3.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.09,0,0,0,0,0,0,0
YJL185C_mRNA,6.72,5.28,9.77,2.37,3.86,17.93,9.19,14.11,13.19,4.35,8.74,6.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.02,3.99,2.66,0,0,0,0,0
YLR211C_mRNA,2.65,6.02,8.28,9.3,7.58,11.82,0,6.04,0,8.72,9.77,10.74,22.69,0,0,0,0,0,0,0,0,0,0,0,0,0,7.15,4.27,2.85,0,0,0,64.07,0
YLR211C_pre-mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YNL223W_mRNA,11.79,4.59,12.39,11.45,16.34,11,0,4.09,8.2,11.42,8.54,9.92,15.36,0,0,0,0,0,0,17.73,14.93,0,4.29,0,0,0,10.89,31.85,25.11,11.56,4.76,0,0,0
YPL149W_mRNA,16.44,27.8,18.45,22.95,33.69,33.68,0,9.84,0,20.21,26.96,31.81,0,0,7.62,6.42,0,31.4,0,9.43,7.95,0,6.87,0,61.64,159.2,3.88,0,0,0,15.25,0,34.79,0
YHR171W_mRNA,6.32,3.45,2.82,4.55,7.43,4.38,0,4.07,2.17,2.51,5.04,4.47,12.22,0,5.7,4.79,0,7.79,0,0,0,0,0,0,0,0,2.89,6.92,4.62,0,0,0,0,0
YBL078C_mRNA,9.44,12.68,9.24,9.49,26.66,23.95,6.14,26.37,15.1,23.21,16.24,24.36,0,0,4.37,14.72,69.46,0,0,0,0,0,47.37,0,0,0,6.69,5.31,3.54,0,0,0,0,0
YDL149W_mRNA,4.05,4.64,2.83,2.74,2.24,8.14,1.59,4.9,1.96,3.96,2.64,3.64,2.45,0,11.47,10.6,6.02,18.75,0,2.84,7.16,29.97,0,0,0,0,8.69,1.39,4.64,11.07,2.28,0,27.7,0
YPR026W_mRNA,2.87,2.95,3.06,2.06,1.68,3,0,3.68,0,3.3,3.08,2.77,6.14,0,1.91,3.22,10.04,0,0,7.1,5.98,0,0,0,0,0,3.38,1.16,1.55,2.31,0,0,0,0
YMR301C_mRNA,36.91,43.42,43.34,27.21,36.11,33.71,49.64,40.63,34.89,38.56,41.46,55.13,25.43,0,40.66,54.17,124.86,48.63,0,25.19,31.82,66.62,27.37,38.28,23.48,0,21.47,28.81,42.56,69.73,47.25,0,5.13,0
YNR002C_mRNA,0.36,0.72,0,1.63,0,0,0,0,0,2.24,0.39,0.47,0,0,0,0,0,4.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YDR384C_mRNA,120.25,127.99,144.6,174.79,91.1,87.15,69.46,175.17,170.92,147.23,112.89,127.06,53.39,0,109.81,95.39,18.72,82.63,0,79.02,66.53,0,0,13.34,8.18,0,46.87,43.02,74.63,137.78,170.02,0,86.16,0
YBL099W_mRNA,622.85,538.88,595.72,669.73,649.73,732.56,336.14,596.06,527.29,525.22,481.13,494.4,661.27,720.12,661.29,624.55,425.74,476.69,617.5,689.06,636.35,353.36,347.81,774.08,759.02,730.6,505.63,552.4,484.58,346.76,563.84,0,540.89,68.43
YLR393W_mRNA,29.72,40.56,43.55,46.68,72.22,63.02,14.32,11.72,17.62,49.06,51.73,52.57,36.69,0,10.23,8.61,0,9.35,0,0,0,0,0,0,0,0,15.61,12.42,11.05,8.28,88.6,0,0,0
YNL315C_mRNA,35.28,36.26,33.92,32.04,35.32,26.48,40.31,26.3,31,26.21,21.26,24.51,46.48,0,75.54,75.68,76.06,34.56,0,62.41,90.08,236.72,0,0,8.31,21.46,54.93,78.64,99.11,139.93,57.56,0,142.21,0
YJL180C_mRNA,18.32,21.27,15.38,34.1,15.3,17.13,24.81,18.28,14.24,7.63,13.14,13.79,61.02,0,53.13,44.72,0,14.58,0,0,22.18,139.85,0,0,0,0,27.04,17.21,57.41,137.78,63.76,0,21.54,0
YLR295C_mRNA,394.61,177.79,258.48,412.76,255.56,345.11,158.55,245.79,302.33,254.91,211.84,221.89,170.61,649.9,191.57,165.97,29.91,287.34,511.2,279.34,246.93,74.48,458.99,1273.21,781.08,0,112.34,164.24,118.71,27.52,690.43,0,808.79,116.65
YPL271W_mRNA,165.05,134.35,120.93,145.22,178.59,130.77,65.01,139.7,111.97,150.63,118.32,175.51,0,0,119.23,100.34,0,25.47,0,0,38.28,244.3,117.1,0,0,0,33.07,200.51,148.65,45.13,278.45,0,28.22,0
YDL004W_mRNA,214.99,172.53,151.2,177.81,236.48,225.57,158.18,263.02,237.84,271.92,263.36,264.94,81.05,778.41,131.42,126.4,99.47,180.78,0,81.44,68.57,0,101.76,229.8,140.98,0,102.97,96.91,72.27,22.88,112.92,0,114.45,0
YDR377W_mRNA,123.85,74.03,75.32,145.01,122.83,115.96,6.49,55.8,66.55,86.71,94.52,88.91,59.87,58.96,101.83,97.36,73.48,197.13,0,137.73,125.59,60.99,50.11,0,74.78,193.46,70.76,106.69,82.43,33.8,27.8,0,225.45,0
YML081C-A_mRNA,79.23,55.75,56.73,60.43,77.45,90.49,100.47,69.4,56.65,57.9,50.91,49.86,250.97,0,106.38,111.91,142.16,123.03,0,307.65,259.01,0,193.9,166.93,102.41,0,82.14,107.67,79.02,21.8,53.79,0,0,0
YOL077W-A_mRNA,401.5,372.29,348.72,281.22,428.29,479.31,137.33,428.62,474,441.05,336.12,385.07,52.78,0,202.29,204.3,215.91,145.75,0,260.75,219.53,0,161.97,0,0,0,116.43,58.97,45.9,19.86,212.42,1264.37,24.84,0
YJR121W_mRNA,806.46,701.22,638.38,735.47,812.75,777.18,476.2,613.26,639.43,769.26,589.52,715.03,1133.74,445.24,966.87,1041.18,1424.3,898.89,439.64,644.1,702.74,1009.37,821.92,1080.69,932,692.31,832.42,565.62,623.44,735.74,1471.75,662.46,1002.19,888.45
YPR020W_mRNA,60.91,57.45,50.09,97.17,57.64,60.19,30.84,34.72,25.3,49.83,36.58,55.11,63.22,0,87.38,73.54,0,151.08,0,0,0,0,52.91,383.95,336.49,262.64,29.89,88.44,100.32,124.9,117.43,0,111.59,0
YDR350C_mRNA,6.22,9.46,11.55,6.95,12.91,13.16,8.99,8.28,5.53,10.1,8.74,13.83,0,40.49,0,4.49,25.44,19.81,0,4,3.38,0,0,0,0,0,3.27,5.87,3.92,0,16.04,0,4.88,0
YNR020C_mRNA,30.13,38.22,24.29,34.49,30.19,17.64,44.06,31.56,18.07,15.63,22.28,25.75,7.53,0,59.42,50.01,0,62.35,0,34.65,72.95,275.98,31.5,0,0,0,28.46,8.49,5.67,0,69.9,0,10.63,0
YMR098C_mRNA,15.27,17.09,12.74,13.21,13.56,17.5,12.4,18.28,18.31,14.66,19.7,20.19,0,67.07,14.22,13.46,9.36,19.44,0,8.81,7.42,0,0,0,0,0,24.34,12.95,11.52,8.61,7.08,0,0,0
YBR039W_mRNA,177.35,175.43,186.13,188.92,183.92,204.97,150.72,175.55,194.52,175.04,135.7,174.24,197.62,280.74,205.87,197.25,150.54,369.14,496.05,361.15,435.71,832.98,34.22,167,160.99,150.99,164.3,169.26,189.93,230.81,189.88,48.31,153.97,64.78
YPL078C_mRNA,113.65,125.46,105.31,130.4,131.18,116.95,131.53,93.18,105.81,105.26,101.71,130.56,194.42,733.19,321.39,288.71,114.53,79.3,0,161.07,143.07,47.53,182.26,122.4,158.52,215.39,113.97,96.5,90.72,79.02,252.81,0,208.66,0
YDR298C_mRNA,189.01,165.47,166.78,217.54,205.25,162.66,236.02,151.5,184.78,146.49,153.11,177.83,470.01,388.94,156.91,161.04,182.16,246.98,0,218.2,215.65,201.59,144.94,389.17,238.74,0,175.41,144.1,151.97,167.57,459.52,1171.14,174.66,78.53
YKL016C_mRNA,210.03,168.04,189.41,278.04,220.79,196.88,135.43,185.99,210.46,153.36,152.14,199.51,591.68,713.09,375.35,443.95,806.85,572.59,57.27,528.07,476.34,200.9,586.95,114.64,445.38,971.12,282.3,154.01,357.6,766.97,519.03,468.48,820.02,209.43
YML116W_mRNA,11.46,17.53,18.09,20.86,9.28,15.33,5.52,11.01,16.97,15.98,21.46,19.44,0,0,1.98,9.98,52.06,18.92,0,44.08,37.12,0,7.1,0,0,0,15.04,12,14.41,19.15,0,0,0,0
YAL020C_mRNA,17.25,12.71,13.61,12.13,27.35,14.33,33.21,7.65,18.73,9.32,23.01,14.42,0,0,50.44,59.93,109.65,24.4,0,0,12.38,78,32.05,0,0,0,12.07,14.42,24.04,43.23,77.05,0,0,0
YNL259C_mRNA,49.1,45.59,42.71,36.55,57.64,134.11,56.72,65.3,75.6,62.03,57.49,54.89,87.2,0,0,8.4,53.51,41.68,0,49.51,41.68,0,127.72,0,0,0,25.76,12.13,24.28,49.22,0,0,0,0
YOR079C_mRNA,39.1,31.86,30.44,43.25,30.53,37.79,29.04,28.23,23.82,29.76,31.24,46.12,14.88,0,34.56,43.63,91.32,28.45,0,68.21,57.45,0,24.91,91.12,55.9,0,33.42,43.25,47.76,58.81,103.67,0,0,0
YFL010W-A_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKL004W_mRNA,66.16,69.6,66.89,59.32,66.53,66.63,55.48,42.58,61.94,63.04,62.99,81.69,61.6,0,68.41,76.14,116.3,69.45,122.86,60.17,50.66,0,51.56,0,107.07,275.59,88.48,104.53,94.78,74.89,158.43,167.49,6.69,0
YOR011W_mRNA,2.24,2.14,2.68,2,2.12,2.8,1.17,0.36,2.39,4.27,3.47,4.4,0,0,8.37,7.75,4.4,0,0,18.67,15.72,0,0,0,0,0,2.96,4.07,5.43,8.09,0,0,7.59,0
YLR114C_mRNA,25.98,26.01,27.43,16.63,27.73,21.95,19.36,31.03,25.58,23.65,21.53,28.18,23.14,0,12.33,10.38,0,12.64,0,19.1,16.09,0,2.77,0,0,0,16.41,35.58,31.11,22.4,24.57,0,0,0
YOL078W_mRNA,5.37,5.13,5.09,4,5.18,3.9,1.37,4.62,5.61,6.31,5.09,5.7,0,0,4.91,4.13,0,6.7,0,12.17,10.24,0,3.52,0,0,0,3.98,4.77,4.77,4.75,15.62,0,11.88,139.09
YMR068W_mRNA,2.09,7.27,4.8,9.32,7.6,6.11,3.39,5.2,1.39,5.21,4.49,4.37,5.21,0,2.43,10.21,51.17,0,0,0,0,0,0,0,0,0,12.32,11.65,7.23,0,91.97,0,0,0
YJR001W_mRNA,72.19,75.03,59.04,68.27,71.44,78.48,44.44,67.4,57.88,86.83,69.85,82.76,160.71,0,73.03,83.53,138.08,71.7,0,148.54,128.96,24.56,26.9,112.84,116.82,122.42,107.32,97.8,69.8,13.61,153.01,0,68.09,0
YEL064C_mRNA,8.19,9.92,5.6,5.71,11.18,4.99,0,7.14,9.54,11.4,11.55,12.87,15.33,0,4.76,4,0,6.51,0,0,9.93,62.47,0,0,0,0,16.91,28.9,26.99,23.08,0,0,0,0
YKL146W_mRNA,47.9,37.07,39.51,51.24,42.8,37.6,9.54,28.56,24.46,41.45,37.69,45.93,18.33,21.49,64.96,64.74,63.01,44.4,75.96,21.88,28.63,67.23,30.69,32.19,53.2,91.41,46.8,24.92,24.94,24.84,102.18,0,62.14,0
YNL101W_mRNA,24.39,22.21,22.94,23.86,19.46,27.06,22.79,15.27,16.15,15.19,21.26,23.65,19.11,18.66,22.26,25,39.09,20.3,0,33.15,27.9,0,8,0,0,0,25.6,25.26,25.28,25.17,71.01,0,26.99,0
YBL089W_mRNA,18.86,13.89,17.2,15.86,15.17,14.34,15.92,22.48,23.5,16.18,13.69,18.01,19.57,0,18.23,17.26,12.01,46.78,0,16.94,14.27,0,0,0,0,0,11.57,8.3,7.39,5.52,0,0,0,0
YER119C_mRNA,32.25,29.85,28.49,32.38,37.35,35.61,9.75,30.92,35.98,28.04,28.5,34.19,19.98,0,32.55,39.14,73.56,25.47,0,57.41,48.34,0,83.61,0,48.36,124.51,60.21,33.9,35.81,39.47,4.64,317.92,7.05,47.37
YIL088C_mRNA,37.59,39.89,29.43,35.83,36.53,38.14,16.29,36,17.37,40.44,29.65,42.03,40.06,0,41.97,39.24,24.58,35.1,0,127.14,160.56,336.65,46.1,8.78,5.39,0,33.14,50.97,45.34,33.92,102.32,0,0,0
YPR122W_mRNA,15.8,15.21,16.54,16.27,16.08,16.82,4,9.83,14.77,12.46,11.48,14.7,18.45,0,17.23,16.11,10.07,7.84,0,2.37,2,0,1.72,25.24,35.39,51.11,11.63,23.26,17.07,4.63,11.43,0,66.6,0
YIL140W_mRNA,50.71,56.26,61.21,55.02,78.86,70.99,45.64,54.84,49.13,58.84,58.65,64.83,38.09,0,61.41,58.22,43.06,83.84,15.13,40.57,34.16,0,26.92,167.76,102.91,0,49.75,29.82,40.9,62.71,27.15,0,119.72,0
YIL124W_mRNA,76.45,59.85,56.74,50.27,61.51,79.51,80.71,63.49,64.12,71.56,53.42,58.08,54.28,45.69,115.22,136.36,247.43,34.59,0,107.1,120.23,189.56,116.82,54.24,141.42,279.19,78.81,74.34,87.53,113.8,165.64,0,131.4,0
YLL063C_mRNA,7.63,7.35,8.78,7.98,12.15,11.16,3.1,5.7,2.54,9.15,9.48,9.84,0,0,6.65,5.6,0,0,0,10.99,9.25,0,0,0,0,0,5.63,0,0,0,35.38,0,0,0
YOR113W_mRNA,6.38,6.22,7.5,11.28,9.93,6.74,3.46,7.96,7.09,5.11,5,6,15.94,0,2.48,8.35,39.12,15.23,0,6.15,5.17,0,24.46,0,0,0,5.65,3.01,5.02,9,0,0,0,0
YGR224W_mRNA,0.57,1.14,0.44,0,0,1.12,0,0,0,0.88,0.41,1.97,3.81,0,0,1.57,18.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR134W_mRNA,0,0,0,1.81,0.49,1.05,0,0,0,0,0,0.7,0,0,2.51,2.11,0,0,0,0,0,0,0,0,0,0,0,0,4.07,12.18,0,0,0,0
YBR068C_mRNA,76.34,78.23,72.07,98.9,96.66,106.87,64.5,57.88,53.92,104.4,96.66,105.38,133.46,312.99,133.31,149.59,234,211.42,0,136.59,129.84,93.22,232.99,13.39,73.92,168.98,122.58,136.01,152.68,185.12,113.34,80.78,102.31,288.91
YDR046C_mRNA,81.7,88.12,80.79,84.92,91,97.86,76.23,74.24,71.14,99.75,90.9,89.75,145.46,0,167.59,163.23,138.85,56.65,0,149.37,133.61,49.39,98.08,42.55,26.1,0,85,93.77,86.98,72.99,135.1,228.33,159.76,38.28
YIL015W_mRNA,172.45,192.25,171.42,97.73,113.62,127.1,100.36,153.26,177.29,1.52,2.34,2.04,197.8,0,204.66,209.48,233.04,148.74,40.99,159.96,192.39,362.67,225.16,249.98,213,153.39,213.19,237.37,201.7,129.52,135.95,0,0,74.94
YKR099W_mRNA,10.08,13.57,14.68,17.22,12.16,6.37,13.49,8.28,10.28,14.35,16.9,12.24,5.93,0,9.67,8.14,0,45.32,0,6.85,23.01,108.65,7.44,52.06,31.94,0,15.41,6.72,10.08,16.72,46.78,0,0,0
YHR208W_mRNA,316.71,253.82,241.3,457.69,387.68,412.36,140.38,159.57,147.81,296.93,343.71,294.49,682.38,617.08,1098.89,1130.33,1288.44,899.49,454.31,1324.93,1352.76,1497.13,956.81,1491.96,1466.95,1421.53,1156.62,1227.52,1263.09,1330.1,140.84,0,255.32,0
YJR148W_mRNA,153.82,159.55,156,122.08,127.6,114.31,153.14,173.69,163.98,186.57,122.48,134.27,261.57,423.19,255.38,324.95,690.2,458.41,101.97,361.71,336.29,199.83,311.98,446.51,449.53,452.79,408.05,459.8,518.75,634.92,249.02,0,110.81,124.29
YJL020C_mRNA,47.01,49.86,54.62,60.38,58.4,45.66,16.67,49.88,38.73,39.57,42.05,44.25,143.04,87.43,147.53,139.26,94.33,164.63,66.21,74.13,87.37,156.58,57.18,71.33,43.76,0,74.69,84.75,85.62,86.77,99.15,0,54.27,40.35
YPL255W_mRNA,0.28,2.81,2.92,5.67,0,2.2,0,1.13,3.01,3.03,4.55,2.91,5.63,0,2.62,2.21,0,0,0,0,0,0,0,0,0,0,7.99,0,0,0,0,0,71.6,0
YHR040W_mRNA,15.47,20.63,24.26,20.59,17.99,24.41,12.84,13.13,17.55,18.72,16.64,14.44,0,0,24.46,20.59,0,12.57,0,30.32,25.52,0,0,161.22,155.42,145.73,32.65,3.71,4.96,7.43,24.44,326.26,65.02,0
YMR237W_mRNA,52.35,62.43,48.86,48.68,58.06,48.97,45.07,62.59,47.53,48.97,43.15,48.57,115.48,57.99,79.17,77.94,72.89,29.44,0,72.47,73.67,80.66,138.08,144.88,88.88,0,70.97,89.9,102.92,126.65,49.03,0,23.3,0
YKR027W_mRNA,20.86,17.37,21.6,14.81,15.02,18.61,6.31,21.94,10.34,19.13,17.39,20.03,0,0,21.1,21.56,23.79,35,0,26.15,22.01,0,5.41,107.83,66.15,0,20.62,16.47,12.21,3.65,42.01,0,36.5,0
